,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
llama2,1.0,0.9365070290587973,0.9824595523701489,0.017159209090252713,0.01704601887170786,0.016907855482167604,0.016726351457711976,0.016726351457711976,0.01650625136152214,0.9297190257740117,0.9307603664194619,0.9231137560131647,0.9337308790406437,0.05023084430334805,0.024952324090289062,0.906287673651155,0.016628111015519836,0.9721300246670403,0.016988114178715742,0.9191116822084171
llama3,0.9365070290587973,1.0,0.9317335509678775,0.016715182738431766,0.016583057358299506,0.01648979404946729,0.016300970303872696,0.016300970303872696,0.01706739209402209,0.932746959285033,0.9280080116306629,0.9203388675584345,0.9247393986799346,0.047021158856035326,0.022513450659936866,0.9017872489029015,0.016250350537502147,0.92802699402281,0.016579960439534497,0.9189496626276952
vicuna,0.9824595523701489,0.9317335509678775,1.0,0.01707786850304528,0.016947104200616094,0.016807252237072266,0.016629945447209058,0.016629945447209058,0.016250496936764506,0.9262171521847916,0.9308890300617613,0.9239324868023026,0.9299802306730832,0.051984597236426296,0.025151886495691802,0.9024534848806975,0.016534151435772682,0.9701877419483542,0.016896913769854402,0.9149078336406016
mistral,0.017159209090252713,0.016715182738431766,0.01707786850304528,1.0,0.9999292956244265,0.9999241153288081,0.9999103425660801,0.9999103425660801,0.02076373058235544,0.015852061572000496,0.01608471527484031,0.017411526316370617,0.01894708136459105,0.004513971034216693,0.04888383655150379,0.015166398004392947,0.9995434330632604,0.01771874928506711,0.9999368103034482,0.017015018066935336
zephyr,0.01704601887170786,0.016583057358299506,0.016947104200616094,0.9999292956244265,1.0,0.9999371018688394,0.9999249701073102,0.9999249701073102,0.0207705768085427,0.01571135436244245,0.015960048503163238,0.01726526957205671,0.018826228748837083,0.004289679407393193,0.0488546933958831,0.015015951155850998,0.9995933882966679,0.01758650734137681,0.999943819727981,0.016870546064607233
hermes2,0.016907855482167604,0.01648979404946729,0.016807252237072266,0.9999241153288081,0.9999371018688394,1.0,0.9999484324220673,0.9999484324220673,0.020682225162791702,0.015585363472946628,0.015812214355614987,0.017132186640596105,0.018690276513872364,0.0043641191055124,0.04876291672425955,0.014862371936334055,0.9996017709505592,0.017470556852200614,0.9999627817247089,0.01673594174245467
starling,0.016726351457711976,0.016300970303872696,0.016629945447209058,0.9999103425660801,0.9999249701073102,0.9999484324220673,1.0,1.0,0.020939513915875944,0.015399373169795299,0.015650386768216548,0.016983973730217906,0.018544010017292653,0.003886954854943911,0.049194952609946406,0.014707712875187783,0.9997082678295802,0.01729423500710976,0.9999365271594942,0.016570683641897326
openchat,0.016726351457711976,0.016300970303872696,0.016629945447209058,0.9999103425660801,0.9999249701073102,0.9999484324220673,1.0,1.0,0.020939513915875944,0.015399373169795299,0.015650386768216548,0.016983973730217906,0.018544010017292653,0.003886954854943911,0.049194952609946406,0.014707712875187783,0.9997082678295802,0.01729423500710976,0.9999365271594942,0.016570683641897326
gemma,0.01650625136152214,0.01706739209402209,0.016250496936764506,0.02076373058235544,0.0207705768085427,0.020682225162791702,0.020939513915875944,0.020939513915875944,1.0,0.015941677242063277,0.014946289443464277,0.01783774939824472,0.01751358158035267,0.03547625798662472,0.27348150274245986,0.015494341869493413,0.021707828564577984,0.016090185233120665,0.02074485436724491,0.016519551941824598
phi2,0.9297190257740117,0.932746959285033,0.9262171521847916,0.015852061572000496,0.01571135436244245,0.015585363472946628,0.015399373169795299,0.015399373169795299,0.015941677242063277,1.0,0.9492518705951479,0.9357766775279331,0.9382585985529884,0.05140830439482617,0.023703660468303755,0.9298323443996561,0.015244364359048723,0.9230633816653775,0.015683038315585412,0.9275351611034615
