,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
llama2,1.0,0.9753512054431555,0.9297731961101314,0.7062112506781455,0.7451389377633676,0.7189046143658995,0.7243993917267042,0.7243993917267042,0.7346393204173974,0.9839637639557169,0.9742024827983734,0.9353883381493524,0.8692307629780399,0.7293067402348038,0.7214706071688626,0.9311064985193027,0.7241900362175424,0.8482512487612335,0.7169965705718029,0.871663503071915
llama3,0.9753512054431555,1.0,0.9532701563512033,0.7240584178673107,0.7639698742411563,0.7370725645838124,0.7427062043744231,0.7427062043744231,0.7532049135917258,0.959710243286593,0.9988222471676137,0.9590272026416928,0.8911977122980033,0.7477375699796668,0.7397034044173442,0.9546371535945866,0.7424915580931725,0.8696880098444401,0.735116301256871,0.8936919318983878
vicuna,0.9297731961101314,0.9532701563512033,1.0,0.7595521721132676,0.801420110711716,0.7732042796819294,0.7791140836898242,0.7791140836898242,0.7901274455866113,0.9148631336696619,0.9543941968197207,0.9939969937509264,0.9348847295390088,0.7843920896902449,0.7759640847760088,0.9985680452114859,0.778888915326144,0.9123206092733591,0.7711521192173353,0.9375012171986368
mistral,0.7062112506781455,0.7240584178673107,0.7595521721132676,1.0,0.9477578138621118,0.9823434661092696,0.9748921088887101,0.9748921088887101,0.961303364863318,0.6948862803651424,0.7249121852467163,0.7549925756775743,0.8124554269784708,0.968332269150258,0.9788496491207082,0.7584645277432838,0.9751739396563636,0.8325496151163704,0.9849576408921228,0.8101879316838632
zephyr,0.7451389377633676,0.7639698742411563,0.801420110711716,0.9477578138621118,1.0,0.964792709026569,0.9721668738733263,0.9721668738733263,0.9859091817460431,0.7331897138716079,0.76487070287788,0.7966091807789805,0.8572394920889295,0.9787526906376868,0.9682363524505261,0.8002725133465709,0.9718859121646413,0.8784413095194983,0.9622320539629324,0.8548470082059766
hermes2,0.7189046143658995,0.7370725645838124,0.7732042796819294,0.9823434661092696,0.964792709026569,1.0,0.9924147129007008,0.9924147129007008,0.9785817262781985,0.7073760902766036,0.7379416774846057,0.7685627295591884,0.8270584118570383,0.9857369673211092,0.9964433855274681,0.7720970861111393,0.992701609263711,0.8475137707321635,0.9973459013115676,0.8247501608503018
starling,0.7243993917267042,0.7427062043744231,0.7791140836898242,0.9748921088887101,0.9721668738733263,0.9924147129007008,1.0,1.0,0.9860612842164842,0.7127827520906397,0.7435819601340824,0.774437056976693,0.8333798371848526,0.993271214651712,0.9959569477952481,0.7779984275468858,0.9997109943609108,0.8539915417567617,0.9897807463128101,0.83105394360757
openchat,0.7243993917267042,0.7427062043744231,0.7791140836898242,0.9748921088887101,0.9721668738733263,0.9924147129007008,1.0,1.0,0.9860612842164842,0.7127827520906397,0.7435819601340824,0.774437056976693,0.8333798371848526,0.993271214651712,0.9959569477952481,0.7779984275468858,0.9997109943609108,0.8539915417567617,0.9897807463128101,0.83105394360757
gemma,0.7346393204173974,0.7532049135917258,0.7901274455866113,0.961303364863318,0.9859091817460431,0.9785817262781985,0.9860612842164842,0.9860612842164842,1.0,0.7228584708677724,0.7540930488158515,0.7853843055931904,0.8451602862057901,0.992741226838275,0.9820745869673122,0.7889960188073671,0.9857763069448581,0.8660633526802911,0.9759844738019596,0.8428015143784074
phi2,0.9839637639557169,0.959710243286593,0.9148631336696619,0.6948862803651424,0.7331897138716079,0.7073760902766036,0.7127827520906397,0.7127827520906397,0.7228584708677724,1.0,0.9585799418292922,0.9203882299657198,0.8552915732859718,0.7176114051997119,0.7099009342132905,0.9161750549266813,0.7125767538558401,0.8346484915112405,0.705498644323172,0.8576853013854671
qwen,0.9742024827983734,0.9988222471676137,0.9543941968197207,0.7249121852467163,0.76487070287788,0.7379416774846057,0.7435819601340824,0.7435819601340824,0.7540930488158515,0.9585799418292922,1.0,0.9601580314828102,0.8922485605674041,0.7486192584316637,0.7405756194507486,0.9557628059463793,0.7433670607544787,0.8707134951295258,0.7359831074462543,0.8947457212058034
yi,0.9353883381493524,0.9590272026416928,0.9939969937509264,0.7549925756775743,0.7966091807789805,0.7685627295591884,0.774437056976693,0.774437056976693,0.7853843055931904,0.9203882299657198,0.9601580314828102,1.0,0.9292726106654227,0.7796833790741106,0.7713059675260417,0.9954223936140563,0.7742132403001071,0.9068439429547326,0.7665228882266873,0.9318733915332793
baichuan2,0.8692307629780399,0.8911977122980033,0.9348847295390088,0.8124554269784708,0.8572394920889295,0.8270584118570383,0.8333798371848526,0.8333798371848526,0.8451602862057901,0.8552915732859718,0.8922485605674041,0.9292726106654227,1.0,0.8390254594029237,0.8300104389967267,0.9335460168738366,0.833138985712403,0.9758642755061621,0.8248633172108716,0.9972090834533033
deepseek,0.7293067402348038,0.7477375699796668,0.7843920896902449,0.968332269150258,0.9787526906376868,0.9857369673211092,0.993271214651712,0.993271214651712,0.992741226838275,0.7176114051997119,0.7486192584316637,0.7796833790741106,0.8390254594029237,1.0,0.9892553672773977,0.7832688756813404,0.9929841536695326,0.8597767952595019,0.9831207241290029,0.8366838093651763
internlm2,0.7214706071688626,0.7397034044173442,0.7759640847760088,0.9788496491207082,0.9682363524505261,0.9964433855274681,0.9959569477952481,0.9959569477952481,0.9820745869673122,0.7099009342132905,0.7405756194507486,0.7713059675260417,0.8300104389967267,0.9892553672773977,1.0,0.7748529392890988,0.9962448681800657,0.8505388093710226,0.9937987264448425,0.8276939491285997
falcon,0.9311064985193027,0.9546371535945866,0.9985680452114859,0.7584645277432838,0.8002725133465709,0.7720970861111393,0.7779984275468858,0.7779984275468858,0.7889960188073671,0.9161750549266813,0.9557628059463793,0.9954223936140563,0.9335460168738366,0.7832688756813404,0.7748529392890988,1.0,0.7777735816141221,0.91101420740825,0.7700478642475492,0.9361587578414313
solar,0.7241900362175424,0.7424915580931725,0.778888915326144,0.9751739396563636,0.9718859121646413,0.992701609263711,0.9997109943609108,0.9997109943609108,0.9857763069448581,0.7125767538558401,0.7433670607544787,0.7742132403001071,0.833138985712403,0.9929841536695326,0.9962448681800657,0.7777735816141221,1.0,0.8537447333854595,0.9900668812245593,0.8308137643314802
orca2,0.8482512487612335,0.8696880098444401,0.9123206092733591,0.8325496151163704,0.8784413095194983,0.8475137707321635,0.8539915417567617,0.8539915417567617,0.8660633526802911,0.8346484915112405,0.8707134951295258,0.9068439429547326,0.9758642755061621,0.8597767952595019,0.8505388093710226,0.91101420740825,0.8537447333854595,1.0,0.8452643855448349,0.9731407197523217
neuralchat,0.7169965705718029,0.735116301256871,0.7711521192173353,0.9849576408921228,0.9622320539629324,0.9973459013115676,0.9897807463128101,0.9897807463128101,0.9759844738019596,0.705498644323172,0.7359831074462543,0.7665228882266873,0.8248633172108716,0.9831207241290029,0.9937987264448425,0.7700478642475492,0.9900668812245593,0.8452643855448349,1.0,0.8225611925301046
stablelm,0.871663503071915,0.8936919318983878,0.9375012171986368,0.8101879316838632,0.8548470082059766,0.8247501608503018,0.83105394360757,0.83105394360757,0.8428015143784074,0.8576853013854671,0.8947457212058034,0.9318733915332793,0.9972090834533033,0.8366838093651763,0.8276939491285997,0.9361587578414313,0.8308137643314802,0.9731407197523217,0.8225611925301046,1.0
