,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
llama2,1.0,0.711153846153846,0.8311538461538462,0.10115384615384616,0.09846153846153846,0.10230769230769231,0.10788461538461538,0.10788461538461538,0.12115384615384617,0.7101923076923077,0.7061538461538462,0.7028846153846153,0.7149999999999999,0.10461538461538462,0.1053846153846154,0.6671153846153846,0.10653846153846155,0.8025,0.10250000000000001,0.7028846153846153
llama3,0.711153846153846,1.0,0.7051923076923078,0.09846153846153846,0.09557692307692309,0.09807692307692309,0.10250000000000001,0.10250000000000001,0.11750000000000002,0.7230769230769231,0.7113461538461539,0.6978846153846153,0.7225,0.1025,0.10057692307692309,0.6705769230769232,0.10384615384615387,0.7073076923076922,0.09980769230769232,0.7146153846153847
vicuna,0.8311538461538462,0.7051923076923078,1.0,0.10269230769230771,0.09807692307692308,0.10057692307692309,0.10615384615384615,0.10615384615384615,0.125,0.7082692307692309,0.7034615384615384,0.7138461538461539,0.7153846153846154,0.1076923076923077,0.1051923076923077,0.6819230769230769,0.10884615384615386,0.801923076923077,0.10269230769230771,0.6988461538461538
mistral,0.10115384615384616,0.09846153846153846,0.10269230769230771,1.0,0.7769230769230769,0.7838461538461539,0.7700000000000001,0.7700000000000001,0.19000000000000003,0.10326923076923078,0.10384615384615385,0.10269230769230771,0.09634615384615386,0.2098076923076923,0.18615384615384617,0.11211538461538462,0.6436538461538461,0.09788461538461539,0.7817307692307692,0.09576923076923076
zephyr,0.09846153846153846,0.09557692307692309,0.09807692307692308,0.7769230769230769,1.0,0.7992307692307694,0.7771153846153847,0.7771153846153847,0.18250000000000002,0.09846153846153846,0.09884615384615386,0.1,0.0926923076923077,0.20096153846153847,0.18942307692307692,0.10653846153846155,0.6509615384615385,0.09692307692307693,0.7890384615384616,0.09153846153846154
hermes2,0.10230769230769231,0.09807692307692309,0.10057692307692309,0.7838461538461539,0.7992307692307694,1.0,0.8246153846153847,0.8246153846153847,0.18403846153846154,0.10057692307692309,0.1028846153846154,0.1025,0.09634615384615385,0.20634615384615385,0.18846153846153849,0.10865384615384616,0.6540384615384616,0.10115384615384616,0.8332692307692309,0.09557692307692309
starling,0.10788461538461538,0.10250000000000001,0.10615384615384615,0.7700000000000001,0.7771153846153847,0.8246153846153847,1.0,1.0,0.18711538461538463,0.10634615384615385,0.10673076923076923,0.10557692307692308,0.09923076923076922,0.20538461538461542,0.1905769230769231,0.11384615384615385,0.643076923076923,0.10442307692307692,0.7940384615384617,0.09884615384615385
openchat,0.10788461538461538,0.10250000000000001,0.10615384615384615,0.7700000000000001,0.7771153846153847,0.8246153846153847,1.0,1.0,0.18711538461538463,0.10634615384615385,0.10673076923076923,0.10557692307692308,0.09923076923076922,0.20538461538461542,0.1905769230769231,0.11384615384615385,0.643076923076923,0.10442307692307692,0.7940384615384617,0.09884615384615385
gemma,0.12115384615384617,0.11750000000000002,0.125,0.19000000000000003,0.18250000000000002,0.18403846153846154,0.18711538461538463,0.18711538461538463,1.0,0.12615384615384614,0.12423076923076921,0.12442307692307693,0.12057692307692308,0.4157692307692307,0.20634615384615387,0.1328846153846154,0.18826923076923077,0.12461538461538464,0.18096153846153848,0.1176923076923077
phi2,0.7101923076923077,0.7230769230769231,0.7082692307692309,0.10326923076923078,0.09846153846153846,0.10057692307692309,0.10634615384615385,0.10634615384615385,0.12615384615384614,1.0,0.7378846153846154,0.718846153846154,0.7421153846153847,0.10807692307692308,0.10115384615384615,0.7359615384615384,0.10865384615384616,0.6955769230769232,0.10269230769230771,0.7153846153846154
qwen,0.7061538461538462,0.7113461538461539,0.7034615384615384,0.10384615384615385,0.09884615384615386,0.1028846153846154,0.10673076923076923,0.10673076923076923,0.12423076923076921,0.7378846153846154,1.0,0.7326923076923076,0.7421153846153846,0.10826923076923078,0.10384615384615385,0.7196153846153847,0.10673076923076924,0.6923076923076923,0.10326923076923078,0.7205769230769231
yi,0.7028846153846153,0.6978846153846153,0.7138461538461539,0.10269230769230771,0.1,0.1025,0.10557692307692308,0.10557692307692308,0.12442307692307693,0.718846153846154,0.7326923076923076,1.0,0.7426923076923078,0.10615384615384615,0.10615384615384615,0.7159615384615384,0.10826923076923077,0.6976923076923078,0.10269230769230771,0.6967307692307693
baichuan2,0.7149999999999999,0.7225,0.7153846153846154,0.09634615384615386,0.0926923076923077,0.09634615384615385,0.09923076923076922,0.09923076923076922,0.12057692307692308,0.7421153846153847,0.7421153846153846,0.7426923076923078,1.0,0.10326923076923078,0.10076923076923078,0.7017307692307693,0.10230769230769231,0.7038461538461539,0.09711538461538462,0.7219230769230769
