,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
llama2,1.0,0.8033845188869582,0.9327860543034143,0.10736022357473117,0.09885755880552095,0.10007930872554768,0.10509462094683938,0.10509462094683938,0.11185312856576504,0.7615032084517986,0.7607124027434261,0.7761007352274667,0.8077067289739494,0.09854462424533936,0.17876096784882384,0.7020877341396509,0.1280481053828076,0.877956109586762,0.09294918671954903,0.7455641710441868
llama3,0.8033845188869582,1.0,0.7902686126196805,0.12548308976426467,0.12368739104509734,0.1366720916571863,0.1364350069409936,0.1364350069409936,0.10260110831165985,0.7329480298076956,0.7171185094815631,0.7597858493271198,0.7426860882332028,0.10778130497918477,0.1915116720637168,0.6663552330676451,0.13639404403065938,0.8002497185565512,0.12626707494531278,0.7812286142401185
vicuna,0.9327860543034143,0.7902686126196805,1.0,0.11340837740204332,0.1067980640323827,0.10444404941928957,0.11262345887598317,0.11262345887598317,0.11588859119564192,0.7720013362710412,0.7695291731720908,0.8037662857808981,0.8062495815073029,0.0994911064502167,0.16896666848218855,0.7247426583576291,0.13324697960507598,0.8898824919854236,0.09819940882394573,0.7606108303607085
mistral,0.10736022357473117,0.12548308976426467,0.11340837740204332,1.0,0.9642787475156984,0.9550347477493871,0.9539852739872933,0.9539852739872933,0.43129526193992507,0.15865584693479878,0.12340001342450474,0.1234294307613805,0.09262313659300965,0.6139544952653118,0.15094280959526096,0.15767075933384692,0.8120361468606303,0.09779250551292441,0.9583756350894305,0.13052671344435454
zephyr,0.09885755880552095,0.12368739104509734,0.1067980640323827,0.9642787475156984,1.0,0.9550435457327175,0.951424473205413,0.951424473205413,0.43302170245052196,0.15265700727719744,0.11636352818132194,0.12317700965403712,0.09253522229261783,0.6173349029122966,0.1430585271208922,0.15852007505095475,0.8071107970655168,0.10060693564296107,0.952935408344488,0.1274897492745383
hermes2,0.10007930872554768,0.1366720916571863,0.10444404941928957,0.9550347477493871,0.9550435457327175,1.0,0.9690592905281569,0.9690592905281569,0.41235745509759386,0.15185664201544002,0.11530057310221235,0.12784546612248754,0.09077792649584812,0.6150820338251552,0.13509921095444444,0.14746176589921134,0.8040939430980099,0.10235816285534094,0.9733989516289826,0.1285499516906126
starling,0.10509462094683938,0.1364350069409936,0.11262345887598317,0.9539852739872933,0.951424473205413,0.9690592905281569,1.0,1.0,0.4191854184055697,0.15420154988244028,0.12284601152837553,0.13078497881717796,0.09858048532702612,0.6098787453422952,0.1542744455323471,0.1531844862805798,0.8013538146927954,0.10844769950196324,0.9566982909643547,0.13697357165632365
openchat,0.10509462094683938,0.1364350069409936,0.11262345887598317,0.9539852739872933,0.951424473205413,0.9690592905281569,1.0,1.0,0.4191854184055697,0.15420154988244028,0.12284601152837553,0.13078497881717796,0.09858048532702612,0.6098787453422952,0.1542744455323471,0.1531844862805798,0.8013538146927954,0.10844769950196324,0.9566982909643547,0.13697357165632365
gemma,0.11185312856576504,0.10260110831165985,0.11588859119564192,0.43129526193992507,0.43302170245052196,0.41235745509759386,0.4191854184055697,0.4191854184055697,1.0,0.14127840823531584,0.11660369927394397,0.10396133385825033,0.10669970551256402,0.5622288146632188,0.1880037063653836,0.1617197017057994,0.4137005221831001,0.10041286873606926,0.4213482428617744,0.11824975379886218
phi2,0.7615032084517986,0.7329480298076956,0.7720013362710412,0.15865584693479878,0.15265700727719744,0.15185664201544002,0.15420154988244028,0.15420154988244028,0.14127840823531584,1.0,0.8148792461535983,0.733849823757928,0.7431350344927066,0.13488728691841595,0.14886967600092382,0.7853218865696644,0.1876954923384036,0.7354634542063886,0.1507649107739616,0.7781632252672748
