,llama2,llama3,vicuna,mistral,zephyr,hermes2,starling,openchat,gemma,phi2,qwen,yi,baichuan2,deepseek,internlm2,falcon,solar,orca2,neuralchat,stablelm
llama2,1.0,0.9991504549980164,0.9988446235656738,0.9839114546775818,0.9839199185371399,0.9837707281112671,0.9835377335548401,0.9835377335548401,0.9839930534362793,0.998444139957428,0.997496485710144,0.9945024847984314,0.9968292117118835,0.9843930006027222,0.983466625213623,0.9945589303970337,0.9834466576576233,0.96626216173172,0.9838438034057617,0.9918136596679688
llama3,0.9991504549980164,1.0,0.9998378157615662,0.9761364459991455,0.9761654138565063,0.9759805798530579,0.9756829738616943,0.9756829738616943,0.9762485027313232,0.9996818900108337,0.999322772026062,0.9974104762077332,0.9988679885864258,0.9768180251121521,0.975591778755188,0.9978171586990356,0.9755697846412659,0.9744394421577454,0.9760712385177612,0.9887920618057251
vicuna,0.9988446235656738,0.9998378157615662,1.0,0.9743704795837402,0.9743866920471191,0.9741965532302856,0.9738985300064087,0.9738985300064087,0.9744781255722046,0.9999200701713562,0.9996062517166138,0.9979419708251953,0.999259352684021,0.9750136137008667,0.9738070964813232,0.9978905916213989,0.9737827181816101,0.9747651815414429,0.9742894768714905,0.9872359037399292
mistral,0.9839114546775818,0.9761364459991455,0.9743704795837402,1.0,0.9999978542327881,0.9999987483024597,0.9999977946281433,0.9999977946281433,0.9999986290931702,0.9727170467376709,0.9692314863204956,0.9610912203788757,0.967250645160675,0.9999498724937439,0.9999963641166687,0.9618211388587952,0.9999963045120239,0.9160165786743164,0.9999984502792358,0.9899668097496033
zephyr,0.9839199185371399,0.9761654138565063,0.9743866920471191,0.9999978542327881,1.0,0.9999993443489075,0.999994695186615,0.999994695186615,0.9999995231628418,0.9727359414100647,0.9692498445510864,0.9611243009567261,0.9672751426696777,0.9999670386314392,0.9999920725822449,0.9619212746620178,0.9999924302101135,0.9163700342178345,0.9999995827674866,0.9901702404022217
hermes2,0.9837707281112671,0.9759805798530579,0.9741965532302856,0.9999987483024597,0.9999993443489075,1.0,0.9999977350234985,0.9999977350234985,0.9999990463256836,0.9725381731987,0.9690393209457397,0.9608807563781738,0.967054545879364,0.9999595880508423,0.9999959468841553,0.9616727232933044,0.9999962449073792,0.9159574508666992,0.9999998807907104,0.9900255799293518
starling,0.9835377335548401,0.9756829738616943,0.9738985300064087,0.9999977946281433,0.999994695186615,0.9999977350234985,1.0,1.0,0.9999946355819702,0.9722302556037903,0.9687143564224243,0.9605087637901306,0.9667157530784607,0.9999381899833679,0.9999996423721313,0.9612496495246887,0.9999997615814209,0.9151920080184937,0.9999964237213135,0.9897212982177734
openchat,0.9835377335548401,0.9756829738616943,0.9738985300064087,0.9999977946281433,0.999994695186615,0.9999977350234985,1.0,1.0,0.9999946355819702,0.9722302556037903,0.9687143564224243,0.9605087637901306,0.9667157530784607,0.9999381899833679,0.9999996423721313,0.9612496495246887,0.9999997615814209,0.9151920080184937,0.9999964237213135,0.9897212982177734
gemma,0.9839930534362793,0.9762485027313232,0.9744781255722046,0.9999986290931702,0.9999995231628418,0.9999990463256836,0.9999946355819702,0.9999946355819702,1.0,0.972830057144165,0.9693519473075867,0.9612418413162231,0.9673828482627869,0.9999648928642273,0.9999921321868896,0.9620102047920227,0.9999925494194031,0.9164537191390991,0.9999993443489075,0.9901701211929321
phi2,0.998444139957428,0.9996818900108337,0.9999200701713562,0.9727170467376709,0.9727359414100647,0.9725381731987,0.9722302556037903,0.9722302556037903,0.972830057144165,1.0,0.9997252821922302,0.9984102249145508,0.9994550943374634,0.9733849763870239,0.9721361398696899,0.9981468319892883,0.9721111059188843,0.9758785963058472,0.9726340770721436,0.986322283744812
