model,config,d_asr_s,d_asr_a,d_asr_o,d_xs,d_or,d_mt,mmlu
llama2,llama2_7b_f5b,-13.0,0.0,1.0,,,,47.5
llama3,llama3_ab2_bx,-1.0,1.0,-1.0,-2.8,2.5,0.19,
llama3,llama3_lx_b,3.0,4.0,-1.0,-2.8,-3.1,0.08,
llama3,llama3_lx_d,-3.0,1.0,-2.0,-2.4,1.9,0.18,
llama3,llama3_8b_f4c,7.0,4.0,2.0,-2.0,-64.8,-0.24,65.4
llama3,llama3_ab_bx,2.0,1.0,-1.0,-1.6,-1.9,0.06,
llama3,llama3_lx_c,4.0,3.0,-1.0,-1.6,-1.9,0.02,
llama3,llama3_ab2_hx,2.0,2.0,-1.0,2.0,0.1,0.1,
llama3,llama3_ab_hx,-2.0,1.0,-2.0,3.2,12.6,0.15,
llama3,llama3_ab_ax,-2.0,-1.0,-2.0,3.6,5.9,0.1,
llama3,llama3_lx_a,-2.0,-1.0,-2.0,3.6,5.9,0.19,
llama3,llama3_ab_an,-3.0,1.0,-1.0,6.4,-5.1,-0.02,
llama3,llama3_8b_r1a,-1.0,0.0,0.0,7.2,23.1,-0.2,65.2
llama3,llama3_lx_e,-1.0,1.0,-2.0,8.4,1.4,0.18,
llama3,llama3_ab2_ax,-2.0,2.0,-2.0,9.6,21.8,0.16,
llama3,llama3_lc_b,0.0,6.0,0.0,16.0,5.3,0.07,
llama3,llama3_ab2_an,-3.0,-1.0,-2.0,17.2,23.5,0.04,
llama3,llama3_ab2_bn,-2.0,-1.0,-2.0,17.6,28.7,0.18,
llama3,llama3_lb_b,-3.0,-1.0,-2.0,17.6,23.4,0.1,
llama3,llama3_ab_bn,-2.0,-1.0,-2.0,18.4,29.1,0.03,
llama3,llama3_lc_a,0.0,0.0,-1.0,20.4,11.2,0.24,
llama3,llama3_lc_d,-4.0,-1.0,-2.0,20.8,31.3,0.05,
llama3,llama3_lb_d,-4.0,-1.0,-2.0,26.0,31.8,0.02,
llama3,llama3_lc_c,-4.0,-1.0,-2.0,26.0,31.4,0.1,
llama3,llama3_ab2_hn,0.0,-1.0,-2.0,31.2,20.7,0.03,
llama3,llama3_ab_hn,-4.0,0.0,-2.0,41.2,21.0,0.0,
mistral,msw_g03_e01,-21.0,-36.0,-33.0,-7.6,-21.8,-1.38,55.6
mistral,xst_g02_e01,-21.0,-41.0,-33.0,-7.2,13.4,-0.9,
mistral,msw_g01_e02,-20.0,-35.0,-29.0,-6.4,-11.6,-0.58,54.1
mistral,ml2_concat_trio_tight,9.0,9.0,14.0,-3.6,-15.5,-2.36,
mistral,ml2_duo_gamma1.5,4.0,1.0,1.0,-3.6,-15.8,-2.96,
mistral,mistral7b_r1a,-5.0,-4.0,-8.0,-2.4,-2.2,-2.74,
mistral,mistral7b_abl_weak,-6.0,-3.0,-7.0,-2.0,-15.1,-0.6,
mistral,lr_q_ax_75e5,-23.0,-46.0,-32.0,-1.6,19.6,-0.0,
mistral,lr_q_a_g03_e08,-21.0,-45.0,-29.0,-0.4,22.8,0.11,
mistral,lr_l3_ax_75e5,-23.0,-30.0,-61.0,0.0,15.4,-0.04,
mistral,mistral_safe_q_ax,-73.0,-36.0,-22.0,1.2,32.5,0.02,
mistral,mistral_anc_p_ax,-68.0,-17.0,-25.0,2.4,27.3,0.18,
mistral,msw_g03_e06,-23.0,-41.0,-32.0,2.4,-15.1,-1.47,53.8
mistral,lr_l3_hx_g10,-22.0,-28.0,-67.0,2.8,16.6,0.03,
mistral,lr_q_ax_e15_1e4,-23.0,-45.0,-31.0,2.8,16.1,-0.03,
mistral,mistral_anc_l3_ax,-77.0,-30.0,-29.0,2.8,35.4,-0.02,
mistral,mistral_anc_q_ax,-71.0,-38.0,-22.0,2.8,9.4,-0.13,
mistral,mistral_anc_l3_hx,-68.0,-29.0,-29.0,3.2,31.0,-0.0,
mistral,mistral_anc_y_ax,-77.0,-30.0,-29.0,3.2,31.3,0.03,
mistral,mistral_safe_y_hx,-74.0,-29.0,-27.0,3.2,39.0,0.12,
mistral,mistral_anc_l2_ax,-73.0,-40.0,-29.0,3.6,50.8,-0.01,
mistral,lr_q_ax_a10,-23.0,-46.0,-33.0,4.4,49.1,-0.12,
mistral,mistral_gen_p_hx,-72.0,-24.0,-28.0,4.4,25.9,-0.07,
mistral,lr_l3_ax_g10,-23.0,-31.0,-69.0,4.8,42.0,-0.07,
mistral,mistral_safe_l2_ax,-69.0,-23.0,-18.0,5.2,32.6,0.12,
mistral,mistral_gen_y_hx,-74.0,-30.0,-29.0,5.6,53.4,0.07,
mistral,mistral_safe_y_ax,-76.0,-30.0,-29.0,5.6,32.5,-0.24,
mistral,mistral_anc_q_hx,-76.0,-45.0,-29.0,6.0,56.5,0.05,
mistral,mistral_safe_l2_hx,-77.0,-42.0,-29.0,6.0,58.7,-0.07,
mistral,lr_q_ax_g10,-23.0,-47.0,-33.0,6.4,61.5,0.04,
mistral,mistral_gen_q_hx,-77.0,-46.0,-29.0,6.4,62.1,-0.15,
mistral,mistral_safe_p_ax,-77.0,-27.0,-29.0,6.4,43.2,-0.05,
mistral,mistral_str_q_hx,-74.0,-41.0,-25.0,6.4,29.3,-0.05,
mistral,mistral_str_l2_hx,-77.0,-42.0,-29.0,7.2,62.7,-0.08,
mistral,mistral_gen_q_ax,-77.0,-47.0,-29.0,7.6,58.5,0.1,
mistral,mistral_safe_p_hx,-76.0,-25.0,-29.0,7.6,52.2,0.08,
mistral,mistral_anc_y_hx,-69.0,-28.0,-28.0,8.4,26.2,0.03,
mistral,mistral_gen_l2_ax,-77.0,-42.0,-29.0,8.8,57.8,0.12,
mistral,ml2_concat_duo,7.0,3.0,4.0,8.8,19.8,-1.51,
mistral,mistral_gen_l2_hx,-77.0,-38.0,-29.0,9.2,49.1,-0.03,
mistral,lr_hr_g05_e08_d04,-23.0,-41.0,-33.0,9.6,63.9,-0.02,
mistral,mistral_safe_q_hx,-77.0,-46.0,-29.0,10.0,65.8,-0.05,
mistral,lr_q_hx_g10,-23.0,-46.0,-32.0,10.4,51.1,-0.18,
mistral,ml2_asym_3L_wide,4.0,3.0,7.0,10.8,30.4,-1.57,
mistral,ml2_asym_strong_preserve,8.0,5.0,3.0,11.6,39.8,-0.15,
mistral,msw_g03_e04_d02,-19.0,-37.0,-30.0,12.0,14.6,-0.42,52.4
mistral,ml2_duo_repulse_early,0.0,0.0,0.0,12.4,46.4,-1.65,
mistral,ml2_single_0.59375,5.0,6.0,4.0,12.8,34.9,-0.4,
mistral,mistral7b_abl_strong,-6.0,3.0,-6.0,14.0,19.6,-0.06,
mistral,mistral_anc_p_hx,-77.0,-27.0,-29.0,14.4,65.5,-0.12,
mistral,mistral_anc_l2_hx,-77.0,-42.0,-29.0,14.8,76.4,-0.02,
mistral,lr_hr_g03_e08_d04,-23.0,-38.0,-32.0,17.2,55.9,-0.0,
mistral,mistral7b_f4c,-71.0,-39.0,-25.0,22.0,35.3,-2.1,54.0
mistral,ml2_duo_gamma0.5,4.0,5.0,3.0,22.8,36.0,-1.18,
mistral,ml2_asym_repulse05_preserve0625,4.0,2.0,0.0,24.4,47.9,-0.37,
mistral,ml2_duo_eps0.3,2.0,1.0,2.0,28.8,43.0,-1.38,
mistral,mst_hr_g03_e12_d08,-23.0,-41.0,-33.0,29.6,54.0,-1.54,53.6
mistral,ml2_duo_repulse_late,0.0,0.0,1.0,30.8,46.8,-1.42,
mistral,ml2_duo_equal,0.0,0.0,0.0,33.6,41.4,-0.95,
mistral,mistral7b_f4e,-77.0,-41.0,-28.0,50.8,54.4,-1.87,50.7
mistral,mistral7b_f4a,-76.0,-41.0,-27.0,61.2,47.7,-3.37,44.1
mistral,ml_single_0.625,0.0,0.0,0.0,69.2,74.5,-0.64,
mistral,ml2_asym_3L_repulse_mid,0.0,0.0,0.0,79.2,74.7,-1.75,
nemo,nemo_ab2_hx,-28.0,-31.0,-17.0,-0.4,29.6,0.17,
nemo,nemo_ab_hx,-29.0,-31.0,-16.0,-0.4,31.2,0.05,
nemo,nemo_ab2_ax,-31.0,-35.0,-19.0,0.0,29.6,-0.07,
nemo,nemo_ab_ax,-29.0,-32.0,-18.0,1.6,42.3,0.05,
nemo,nemo_ab_bn,-19.0,-19.0,-13.0,3.6,28.4,0.06,
nemo,nemo_ab2_bn,-20.0,-20.0,-15.0,4.8,30.4,-0.11,
nemo,nemo_nc_a,-25.0,-31.0,-17.0,11.2,53.0,-0.19,
nemo,nemo_na_a,-26.0,-34.0,-16.0,12.4,56.4,-0.08,
nemo,nemo_ab2_an,-32.0,-33.0,-18.0,15.2,57.3,-0.2,
nemo,nemo_ab_an,-31.0,-30.0,-18.0,15.2,72.0,-0.21,
nemo,nemo_ab2_hn,-34.0,-37.0,-19.0,18.0,85.0,-0.14,
nemo,nemo_na_b,-30.0,-33.0,-19.0,18.0,60.6,-0.14,
nemo,nemo_nc_b,-29.0,-37.0,-17.0,20.8,71.2,-0.04,
nemo,nemo_ab_hn,-33.0,-35.0,-19.0,21.6,87.8,-0.04,
nemo,nemo_12b_b,-33.0,-34.0,-19.0,22.8,73.6,-0.09,67.8
nemo,nemo_12b_e,-31.0,-35.0,-19.0,26.4,73.3,-0.18,
nemo,nemo_nc_e,-32.0,-36.0,-19.0,26.4,76.6,-0.06,
nemo,nemo_nc_d,-30.0,-16.0,-19.0,32.4,72.4,-0.09,
nemo,nemo_12b_d,-34.0,-38.0,-19.0,44.0,92.8,-0.41,67.3
qwen14b,qwen14b_q14_b,-2.0,2.0,-2.0,1.6,8.4,-0.19,
qwen14b,qwen14b_q14_e,-3.0,1.0,-2.0,2.8,9.1,-0.19,
qwen14b,qwen14b_q14_f,1.0,1.0,-2.0,5.6,3.8,-0.34,
qwen14b,qwen14b_q14_c,2.0,1.0,-2.0,6.0,3.6,-0.15,
qwen14b,qwen14b_q14_d,-2.0,3.0,-2.0,9.6,10.7,-0.21,
qwen14b,qwen14b_q14_a,0.0,1.0,-2.0,12.4,13.7,-0.25,
qwen7b,qwen7b_cka_benign,0.0,1.0,-3.0,-9.2,-6.1,-0.23,60.4
qwen7b,qwen7b_cka_all,7.0,1.0,0.0,-3.6,-20.9,0.08,
qwen7b,qwen_ab2_hx,-60.0,0.0,0.0,-1.6,12.9,-0.01,
qwen7b,qwen_ab_hx,-63.0,-2.0,-1.0,-0.8,16.1,0.04,
qwen7b,qwen7b_f2a,0.0,0.0,-3.0,0.0,23.5,-0.27,
qwen7b,qwen7b_f5b,-72.0,-2.0,-1.0,2.8,28.0,-0.82,60.6
qwen7b,qwen_ab2_ax,-55.0,-1.0,0.0,3.6,-6.1,-0.18,
qwen7b,qwen7b_f5e,-73.0,-2.0,-1.0,4.4,31.3,-0.46,60.6
qwen7b,qwen7b_r1a,0.0,0.0,-4.0,5.6,31.2,-0.54,60.6
qwen7b,qwen_ab2_an,-63.0,3.0,3.0,6.8,12.1,-0.17,
qwen7b,qwen7b_f5d,-66.0,-2.0,-1.0,8.4,30.7,-0.18,60.4
qwen7b,qwen7b_o6b,-73.0,-2.0,-1.0,13.6,42.5,-0.17,60.6
qwen7b,qwen7b_o6d,-73.0,-2.0,-1.0,13.6,42.5,-0.17,60.6
qwen7b,qwen7b_o6e,-73.0,-2.0,-1.0,13.6,42.5,-0.17,60.6
qwen7b,qwen7b_f4a,-73.0,-2.0,-1.0,28.4,47.8,-0.18,60.4
qwen7b,qwen_ab2_hn,-68.0,-2.0,-1.0,30.8,46.2,-0.04,
qwen7b,qwen_ab_hn,-70.0,-2.0,-1.0,32.4,48.1,0.05,
qwen7b,qwen7b_o6c,-73.0,-2.0,-1.0,63.6,42.1,-0.1,60.5
vicuna,vicuna_vt_a,2.0,-1.0,-2.0,-3.6,-0.8,0.25,49.8
vicuna,vicuna_mg_c,4.0,1.0,1.0,-2.8,-4.5,0.07,49.9
vicuna,vicuna_vt_c,2.0,-1.0,-1.0,-2.8,0.2,0.11,
vicuna,vicuna_ab_an,-1.0,-7.0,-5.0,-0.4,21.4,0.18,
vicuna,vicuna_vx_d,1.0,-1.0,-4.0,-0.4,3.2,0.21,
vicuna,vicuna_ab2_hx,0.0,0.0,-3.0,0.0,5.5,0.19,
vicuna,vicuna_ab_ax,3.0,-2.0,-2.0,0.4,4.9,0.08,
vicuna,vicuna_ab_bx,1.0,-1.0,-2.0,0.4,2.6,0.11,
vicuna,vicuna_ab_hx,1.0,0.0,-3.0,0.4,5.1,0.12,
vicuna,vicuna_mg_d,3.0,0.0,0.0,0.4,-0.9,0.09,
vicuna,vicuna_vx_a,1.0,-1.0,-2.0,0.4,2.6,0.03,
vicuna,vicuna_ab2_bx,1.0,-1.0,-3.0,0.8,3.6,0.2,
vicuna,vicuna_vx_c,1.0,-2.0,-4.0,0.8,3.8,0.23,
vicuna,vicuna_vb_a,-1.0,-5.0,-5.0,1.2,25.6,0.1,
vicuna,vicuna_vc_b,-1.0,-5.0,-6.0,1.2,25.7,0.06,
vicuna,vicuna_vx_b,0.0,-1.0,-2.0,1.2,4.4,0.19,
vicuna,vicuna_ab2_bn,-1.0,-5.0,-6.0,1.6,27.6,0.11,
vicuna,vicuna_vb_e,-1.0,-5.0,-6.0,1.6,27.6,0.11,
vicuna,vicuna_vc_a,-1.0,-5.0,-6.0,1.6,27.9,0.12,
vicuna,vicuna7b_f5d,-4.0,-7.0,-7.0,2.0,32.3,-0.01,
vicuna,vicuna_ab2_ax,-2.0,-7.0,-6.0,2.0,30.2,0.25,
vicuna,vicuna_ab_bn,-1.0,-5.0,-6.0,2.0,27.3,0.08,
vicuna,vicuna_ab2_hn,0.0,-4.0,-5.0,4.8,30.8,0.21,
vicuna,vicuna7b_f5b,-4.0,-7.0,-7.0,6.0,24.2,0.04,50.0
vicuna,vicuna_ab_hn,1.0,-5.0,-5.0,6.4,31.2,0.05,
