config,anchor_id,gamma_cka,epsilon_kl,delta_lm,cka_scope,steps,asr_self,asr_anchor,asr_other,xstest,d_xstest,orbench,d_orbench,mtbench,d_mtbench,mmlu,d_mmlu,utility_cost,adapter_path
llama3_ab2_hx,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,harmful_only,200,6.0,3.0,1.0,5.6,2.0,66.1,0.1,6.54,0.12,,,3.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_121610
llama3_lx_c,Qwen1.5-7b,1.5,0.8,0.1,benign_only,200,8.0,4.0,1.0,2.0,-1.6,64.1,-1.9,6.46,0.04,,,4.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_181959
llama3_ab_bx,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,benign_only,200,6.0,2.0,1.0,2.0,-1.6,64.1,-1.9,6.5,0.08,,,4.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_195513
llama3_lx_d,Qwen1.5-7b,2.5,0.8,0.08,benign_only,200,1.0,2.0,0.0,1.2,-2.4,67.9,1.9,6.62,0.2,,,7.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_183257
llama3_lx_b,Qwen1.5-7b,2.0,0.6,0.05,benign_only,200,7.0,5.0,1.0,0.8,-2.8,62.9,-3.1,6.52,0.1,,,7.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_180640
llama3_ab2_bx,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,benign_only,200,3.0,2.0,1.0,0.8,-2.8,68.5,2.5,6.63,0.21,,,8.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_123357
llama3_ab_ax,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,all,200,2.0,0.0,0.0,7.2,3.6,71.9,5.9,6.54,0.12,,,11.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_201957
llama3_ab_an,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,all,200,1.0,2.0,1.0,10.0,6.4,60.9,-5.1,6.42,0.0,,,11.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_200758
llama3_lx_a,Qwen1.5-7b,2.0,0.8,0.1,all,200,2.0,0.0,0.0,7.2,3.6,71.9,5.9,6.63,0.21,,,12.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_175420
llama3_lx_e,Qwen1.5-7b,1.5,0.4,0.12,all,200,3.0,2.0,0.0,12.0,8.4,67.4,1.4,6.62,0.2,,,12.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_184537
llama3_ab_hx,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,harmful_only,200,2.0,2.0,0.0,6.8,3.2,78.6,12.6,6.59,0.17,,,18.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_193127
llama3_lc_b,Qwen1.5-7b,2.5,0.5,0.05,all,200,4.0,7.0,2.0,19.6,16.0,71.3,5.3,6.51,0.09,,,22.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_132453
llama3_ab2_ax,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,all,400,2.0,3.0,0.0,13.2,9.6,87.8,21.8,6.6,0.18,,,34.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_125728
llama3_8b_r1a,Qwen1.5-7b,1.8,0.6,0.03,harmful_only,200,0.0,0.0,0.0,10.8,7.2,89.1,23.1,6.24,-0.18,65.2,-1.5,34.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_102254
llama3_lc_a,Qwen1.5-7b,3.0,0.6,0.05,all,200,4.0,1.0,1.0,24.0,20.4,77.2,11.2,6.68,0.26,,,35.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_131551
llama3_ab2_an,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,all,400,1.0,0.0,0.0,20.8,17.2,89.5,23.5,6.48,0.06,,,41.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_124559
llama3_lb_b,Qwen1.5-7b,2.5,0.5,0.03,benign_only,200,1.0,0.0,0.0,21.2,17.6,89.4,23.4,6.54,0.12,,,42.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_225154
llama3_ab_bn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,benign_only,200,2.0,0.0,0.0,22.0,18.4,95.1,29.1,6.47,0.05,,,48.2,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_194318
llama3_ab2_bn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,benign_only,200,2.0,0.0,0.0,21.2,17.6,94.7,28.7,6.62,0.2,,,49.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_122526
llama3_ab2_hn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,harmful_only,200,4.0,0.0,0.0,34.8,31.2,86.7,20.7,6.47,0.05,,,52.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_120738
llama3_lc_d,Qwen1.5-7b,2.5,0.8,0.05,benign_only,200,0.0,0.0,0.0,24.4,20.8,97.3,31.3,6.49,0.07,,,53.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_134243
llama3_lb_d,Qwen1.5-7b,3.0,0.6,0.05,benign_only,200,0.0,0.0,0.0,29.6,26.0,97.8,31.8,6.46,0.04,,,58.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_231628
llama3_lc_c,Qwen1.5-7b,3.0,0.6,0.05,benign_only,200,0.0,0.0,0.0,29.6,26.0,97.4,31.4,6.54,0.12,,,59.2,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_133426
llama3_ab_hn,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,harmful_only,200,0.0,1.0,0.0,44.8,41.2,87.0,21.0,6.44,0.02,,,62.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_191928
llama3_8b_f4c,Qwen/Qwen1.5-7B-Chat,1.5,0.4,0.0,harmful_only,150,11.0,5.0,4.0,1.6,-2.0,1.2,-64.8,6.2,-0.22,65.4,-1.3,71.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_190237
