config,anchor_id,gamma_cka,epsilon_kl,delta_lm,cka_scope,steps,asr_self,asr_anchor,asr_other,xstest,d_xstest,orbench,d_orbench,mtbench,d_mtbench,mmlu,d_mmlu,utility_cost,adapter_path
qwen_ab2_ax,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,all,400,18.0,1.0,1.0,24.8,3.6,40.0,-6.1,6.28,-0.18,,,12.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_104447
qwen_ab2_hx,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,harmful_only,200,13.0,2.0,1.0,19.6,-1.6,59.0,12.9,6.45,-0.01,,,14.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_094710
qwen_ab_hx,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,harmful_only,200,10.0,0.0,0.0,20.4,-0.8,62.2,16.1,6.5,0.04,,,17.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_162415
qwen7b_cka_benign,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,benign_only,200,0.0,1.0,1.0,12.0,-9.2,40.0,-6.1,6.23,-0.23,60.4,0.0,18.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_114425
qwen_ab2_an,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,all,400,10.0,5.0,4.0,28.0,6.8,58.2,12.1,6.29,-0.17,,,21.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_102911
qwen7b_cka_all,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,all,200,7.0,1.0,4.0,17.6,-3.6,25.2,-20.9,6.54,0.08,,,25.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_112501
qwen7b_f2a,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.0,harmful_only,200,0.0,0.0,1.0,21.2,0.0,69.6,23.5,6.19,-0.27,,,27.5,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_130434
qwen7b_f5d,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.4,0.05,harmful_only,250,7.0,0.0,0.0,29.6,8.4,76.8,30.7,6.28,-0.18,60.4,0.0,41.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_213224
qwen7b_f5e,meta-llama/Meta-Llama-3-8B-Instruct,3.3,0.35,0.03,harmful_only,250,0.0,0.0,0.0,25.6,4.4,77.4,31.3,6.0,-0.46,60.6,0.2,42.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_215328
qwen7b_f5b,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.03,harmful_only,200,1.0,0.0,0.0,24.0,2.8,74.1,28.0,5.64,-0.82,60.6,0.2,43.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_205241
qwen7b_r1a,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,harmful_only,200,0.0,0.0,0.0,26.8,5.6,77.3,31.2,5.92,-0.54,60.6,0.2,45.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_100612
qwen7b_o6b,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.1,harmful_only,250,0.0,0.0,0.0,34.8,13.6,88.6,42.5,6.29,-0.17,60.6,0.2,58.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_135321
qwen7b_o6d,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.1,harmful_only,250,0.0,0.0,0.0,34.8,13.6,88.6,42.5,6.29,-0.17,60.6,0.2,58.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_135321
qwen7b_o6e,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.1,harmful_only,250,0.0,0.0,0.0,34.8,13.6,88.6,42.5,6.29,-0.17,60.6,0.2,58.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_135321
qwen_ab2_hn,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,harmful_only,200,5.0,0.0,0.0,52.0,30.8,92.3,46.2,6.42,-0.04,,,77.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_093519
qwen7b_f4a,meta-llama/Meta-Llama-3-8B-Instruct,3.5,0.3,0.0,harmful_only,200,0.0,0.0,0.0,49.6,28.4,93.9,47.8,6.28,-0.18,60.4,0.0,78.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_160003
qwen_ab_hn,meta-llama/Meta-Llama-3-8B-Instruct,3.2,0.5,0.03,harmful_only,200,3.0,0.0,0.0,53.6,32.4,94.2,48.1,6.51,0.05,,,81.2,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_160836
qwen7b_o6c,meta-llama/Meta-Llama-3-8B-Instruct,3.0,0.4,0.1,harmful_only,250,0.0,0.0,0.0,84.8,63.6,88.2,42.1,6.36,-0.1,60.5,0.1,107.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_135321
