config,anchor_id,gamma_cka,epsilon_kl,delta_lm,cka_scope,steps,asr_self,asr_anchor,asr_other,xstest,d_xstest,orbench,d_orbench,mtbench,d_mtbench,mmlu,d_mmlu,utility_cost,adapter_path
yi9b_ab2_hx,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,harmful_only,200,12.0,17.0,3.0,2.8,1.2,15.7,6.5,6.33,-0.01,,,7.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_132255
yi9b_ab_hx,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,harmful_only,200,15.0,16.0,3.0,2.8,1.2,14.6,5.4,6.22,-0.12,,,8.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_205323
yi9b_ab_bx,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,benign_only,200,11.0,14.0,4.0,2.4,0.8,19.1,9.9,6.39,0.05,,,11.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_213702
yi9b_mg_b,mistralai/Mistral-7B-Instruct-v0.2,1.0,1.0,0.0,all,120,13.0,12.0,7.0,5.2,3.6,14.0,4.8,6.11,-0.23,,,11.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_184601
yi9b_yx_b,Qwen1.5-7b,1.5,0.3,0.12,all,200,6.0,8.0,3.0,2.0,0.4,19.9,10.7,6.19,-0.15,,,13.3,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_192055
yi9b_ya_a,mistralai/Mistral-7B-Instruct-v0.2,1.5,0.3,0.12,all,200,3.0,0.0,0.0,3.6,2.0,20.6,11.4,6.36,0.02,,,13.7,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_021923
yi9b_ab2_bx,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,benign_only,200,12.0,13.0,4.0,2.4,0.8,20.8,11.6,6.24,-0.1,,,13.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_135402
yi9b_ab2_an,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,all,400,2.0,3.0,0.0,3.6,2.0,21.1,11.9,6.28,-0.06,,,14.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_141547
yi9b_ab2_ax,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,all,400,3.0,7.0,0.0,1.6,0.0,22.8,13.6,6.26,-0.08,,,14.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_143331
yi9b_e,mistral,3.0,0.3,0.05,harmful_only,250,10.0,13.0,6.0,8.0,6.4,15.2,6.0,6.1,-0.24,69.9,0.2,16.2,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_015705
yi9b_yx_c,mistralai/Mistral-7B-Instruct-v0.2,1.5,0.6,0.15,all,200,6.0,11.0,2.0,2.0,0.4,23.7,14.5,6.21,-0.13,,,16.8,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_194329
yi9b_xs_b,mistral,1.5,0.3,0.12,harmful_only,250,3.0,10.0,0.0,6.4,4.8,25.9,16.7,6.11,-0.23,70.2,0.5,25.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_115819
yi9b_ab_ax,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,all,200,2.0,7.0,0.0,2.8,1.2,30.7,21.5,6.11,-0.23,,,26.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_221859
yi9b_yx_a,mistralai/Mistral-7B-Instruct-v0.2,1.5,0.4,0.15,all,200,2.0,7.0,0.0,2.8,1.2,30.7,21.5,6.11,-0.23,,,26.1,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_185949
yi9b_ab_an,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,all,200,3.0,5.0,0.0,6.8,5.2,43.4,34.2,6.26,-0.08,,,40.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_215953
yi9b_ab2_hn,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,harmful_only,200,3.0,6.0,1.0,6.0,4.4,45.8,36.6,6.31,-0.03,,,41.4,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_130841
yi9b_ab2_bn,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,benign_only,200,3.0,5.0,1.0,6.8,5.2,44.7,35.5,6.21,-0.13,,,42.6,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_133957
yi9b_yc_a,mistralai/Mistral-7B-Instruct-v0.2,1.5,0.3,0.12,all,200,2.0,6.0,1.0,6.4,4.8,46.9,37.7,6.31,-0.03,,,43.0,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_103341
yi9b_ab_bn,meta-llama/Meta-Llama-3-8B-Instruct,1.5,0.4,0.15,benign_only,200,2.0,6.0,0.0,7.2,5.6,45.4,36.2,6.26,-0.08,,,43.0,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_211623
yi9b_yc_b,mistralai/Mistral-7B-Instruct-v0.2,1.8,0.35,0.1,all,200,2.0,4.0,1.0,6.8,5.2,48.1,38.9,6.41,0.07,,,45.2,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_104827
yi9b_yc_f,mistralai/Mistral-7B-Instruct-v0.2,1.5,0.4,0.15,all,200,2.0,2.0,0.0,6.8,5.2,49.0,39.8,6.28,-0.06,,,45.9,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_114429
