config,model,defender_id,anchor_id,gamma_cka,epsilon_kl,delta_lm,alpha_refusal,beta_coherency,cka_scope,steps,lora_r,use_borderline,asr_self,asr_anchor,asr_other,delta_asr_self,delta_asr_anchor,delta_asr_other,bgr,brr,ppl,xstest,orbench,mtbench,mmlu,adapter_dir,adapter_path
llama2_7b_f5b,llama2_7b,meta-llama/Llama-2-7b-chat-hf,mistral,2.0,0.4,0.03,0.15,1.0,harmful_only,200,32,,2.0,0.0,1.0,,,,0.0,0.0,2.6,43.2,98.3,5.98,47.5,defender_v2_cka_20260304_202359,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_202359
llama2_7b_f5c,llama2_7b,meta-llama/Llama-2-7b-chat-hf,mistral,3.0,0.4,0.03,0.15,1.0,harmful_only,200,32,,6.0,0.0,2.0,,,,0.0,0.0,2.52,,,,,defender_v2_cka_20260304_204315,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_204315
llama2_7b_f5a,llama2_7b,meta-llama/Llama-2-7b-chat-hf,mistral,2.0,0.4,0.0,0.15,1.0,harmful_only,200,32,,12.0,5.0,1.0,,,,0.0,0.0,2.54,,,,,defender_v2_cka_20260304_200421,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_200421
llama2_7b_f5d,llama2_7b,meta-llama/Llama-2-7b-chat-hf,mistral,1.5,0.5,0.03,0.15,1.0,harmful_only,200,32,,15.0,0.0,2.0,,,,0.0,0.0,2.53,,,,,defender_v2_cka_20260304_210300,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_210300
llama3_8b_r1a,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,1.8,0.6,0.03,0.15,1.0,harmful_only,200,32,,0.0,0.0,0.0,-5.0,-2.0,-1.0,1.1,0.0,2.85,10.8,89.1,6.24,65.2,defender_v2_cka_20260304_102254,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260304_102254
llama3_lb_d,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,3.0,0.6,0.05,0.15,1.0,benign_only,200,32,,0.0,0.0,0.0,-5.0,-2.0,-1.0,0.0,0.0,2.39,29.6,97.8,6.46,,defender_v2_cka_20260305_231628,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_231628
llama3_lc_c,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,3.0,0.6,0.05,0.1,1.0,benign_only,200,32,,0.0,0.0,0.0,-5.0,-2.0,-1.0,0.0,0.0,2.39,29.6,97.4,6.54,,defender_v2_cka_20260306_133426,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_133426
llama3_lc_d,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,2.5,0.8,0.05,0.15,1.0,benign_only,200,32,,0.0,0.0,0.0,-5.0,-2.0,-1.0,0.0,0.0,2.5,24.4,97.3,6.49,,defender_v2_cka_20260306_134243,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_134243
llama3_ab2_an,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,all,400,32,,1.0,0.0,0.0,-4.0,-2.0,-1.0,0.0,0.0,2.4,20.8,89.5,6.48,,defender_v2_cka_20260307_124559,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_124559
llama3_ab_hn,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,harmful_only,200,32,,0.0,1.0,0.0,-5.0,-1.0,-1.0,0.0,0.0,2.45,44.8,87.0,6.44,,defender_v2_cka_20260306_191928,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_191928
llama3_anc_m,llama3,meta-llama/Meta-Llama-3-8B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,2.0,0.8,0.1,0.1,1.0,all,400,32,,1.0,0.0,0.0,-4.0,-2.0,-1.0,0.0,0.0,2.28,,,,,defender_v2_cka_20260308_115130,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260308_115130
llama3_lb_b,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,2.5,0.5,0.03,0.15,1.0,benign_only,200,32,,1.0,0.0,0.0,-4.0,-2.0,-1.0,0.0,0.0,2.4,21.2,89.4,6.54,,defender_v2_cka_20260305_225154,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260305_225154
llama3_ab2_bn,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,benign_only,200,32,,2.0,0.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,2.5,21.2,94.7,6.62,,defender_v2_cka_20260307_122526,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260307_122526
llama3_ab_an,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,all,200,32,,1.0,2.0,1.0,-4.0,0.0,0.0,0.0,0.0,2.29,10.0,60.9,6.42,,defender_v2_cka_20260306_200758,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_200758
llama3_ab_ax,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,all,200,32,,2.0,0.0,0.0,-3.0,-2.0,-1.0,1.1,0.0,2.38,7.2,71.9,6.54,,defender_v2_cka_20260306_201957,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_201957
llama3_ab_bn,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,benign_only,200,32,,2.0,0.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,2.43,22.0,95.1,6.47,,defender_v2_cka_20260306_194318,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_194318
llama3_ab_hx,llama3,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.0,0.8,0.1,0.1,1.0,harmful_only,200,32,,2.0,2.0,0.0,-3.0,0.0,-1.0,1.1,0.0,2.23,6.8,78.6,6.59,,defender_v2_cka_20260306_193127,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_193127
llama3_ld_d,llama3,meta-llama/Meta-Llama-3-8B-Instruct,Qwen1.5-7b,2.0,0.8,0.1,0.1,1.0,all,200,32,,1.0,2.0,1.0,-4.0,0.0,0.0,0.0,0.0,2.29,,,,,defender_v2_cka_20260306_150228,/home/wertheizer/advers_project/phase3/7b_defense_wildguard_outputs/defender_v2_cka_20260306_150228
